,Sentiment,Text
0,neutral,what dhepburn said
2,neutral,i didn t today must mean i need to take another trip
3,negative,it s really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
4,negative,and it s a really big bad thing about it
5,negative,seriously would pay 30 a flight for seats that didn t have this playing it s really the only bad thing about flying va
6,positive,yes nearly every time i fly vx this ear worm won t go away
7,neutral,really missed a prime opportunity for men without hats parody there
8,positive,well i didn t but now i do d
9,positive,it was amazing and arrived an hour early you re too good to me
10,neutral,did you know that suicide is the second leading cause of death among teens 10 24
11,positive,i lt 3 pretty graphics so much better than minimal iconography d
12,positive,this is such a great deal already thinking about my 2nd trip to australia amp i haven t even gone on my 1st trip yet p
13,positive,virginmedia i m flying your fabulous seductive skies again u take all the stress away from travel
14,positive,thanks
15,negative,sfo pdx schedule is still mia
16,positive,so excited for my first cross country flight lax to mco i ve heard nothing but great things about virgin america 29daystogo
17,negative,i flew from nyc to sfo last week and couldn t fully sit in my seat due to two large gentleman on either side of me help
18,positive,i flying virginamerica
19,positive,you know what would be amazingly awesome bos fll please i want to fly with only you
20,negative,why are your first fares in may over three times more than other carriers when all seats are available to select
21,positive,i love this graphic
22,positive,i love the hipster innovation you are a feel good brand
23,neutral,will you be making bos gt las non stop permanently anytime soon
24,negative,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet
25,negative,status match program i applied and it s been three weeks called and emailed with no response
26,negative,what happened 2 ur vegan food options at least say on ur site so i know i won t be able 2 eat anything for next 6 hrs fail
27,neutral,do you miss me don t worry we ll be together very soon
28,negative,amazing to me that we can t get any cold air from the vents vx358 noair worstflightever roasted sfotobos
29,neutral,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix
30,negative,hi i just bked a cool birthday trip with you but i can t add my elevate no cause i entered my middle name during flight booking problems
31,neutral,are the hours of operation for the club at sfo that are posted online current
32,negative,help left expensive headphones on flight 89 iad to lax today seat 2a no one answering l amp f number at lax
33,negative,awaiting my return phone call just would prefer to use your online self service option
34,positive,this is great news america could start flights to hawaii by end of year   via pacificbiznews
35,neutral,nice rt virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience
36,positive,moodlighting is the only way to fly best experience ever cool and calming moodlitmonday
37,positive,freddieawards done and done best airline around hands down
38,neutral,when can i book my flight to hawaii
39,negative,your chat support is not working on your site
40,positive,view of downtown los angeles the hollywood sign and beyond that rain in the mountains
41,negative,hey first time flyer next week excited but i m having a hard time getting my flights added to my elevate account help
42,neutral,plz help me win my bid upgrade for my flight 2 27 lax gt sea
43,neutral,i have an unused ticket but moved to a new city where you don t fly how can i fly with you before it expires travelhelp
44,neutral,are flights leaving dallas for seattle on time feb 24
45,positive,i m elevategold for a good reason you rock
46,neutral,dream
47,positive,wow this just blew my mind
48,neutral,ladygaga carrieunderwood after last night tribute soundofmusic oscars2015 ladygaga i think carrieunderwood agree
49,neutral,ladygaga carrieunderwood all were entertaining
50,neutral,is flight 769 on it s way was supposed to take off 30 minutes ago website still shows on time not in flight thanks
51,positive,ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood
52,neutral,wish you flew out of atlanta soon
53,neutral,ladygaga carrieunderwood julie andrews hands down
54,neutral,will flights be leaving dallas for la on february 24th
55,negative,hi i m so excited about your 99 lga gt dal deal but i ve been trying 2 book since last week amp the page never loads thx
56,positive,you know it need it on my spotify stat guiltypleasures
57,positive,ladygaga carrieunderwood i m lady gaga she is amazing
58,neutral,ladygaga carrieunderwood carrie
59,neutral,new marketing song   let us know what you think
60,neutral,ladygaga carrieunderwood julie andrews first but lady gaga wow d me last night carrie meh
61,negative,i called a 3 4 weeks ago about adding 3 flights from 2014 to my elevate they still haven t shown up help
62,neutral,ladygaga carrieunderwood all are great but i have to go with carrieunderwood
63,neutral,ladygaga carrieunderwood sorry mary martin had it first
64,positive,ladygaga carrieunderwood love all three but you really can t beat the classics
65,neutral,flight 0736 dal to dca 2 24 2 10pm tried to check in could not status please
66,negative,heyyyy guyyyys been trying to get through for an hour can someone call me please
67,negative,hi virgin i m on hold for 40 50 minutes are there any earlier flights from la to nyc tonight earlier than 11 50pm
68,positive,congrats on winning the travelzoo award for best deals from an airline us
69,negative,everything was fine until you lost my bag
70,neutral,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
71,neutral,i emailed your customer service team let me know if you need the tracking number
72,neutral,hi i just booked a flight but need to add baggage how can i do this
73,negative,your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors
74,positive,not worried it s been a great ride in a new plane with great crew all airlines should be like this
75,positive,awesome i flew yall sat morning any way we can correct my bill
76,neutral,or watch some of the best student films in the country at 35 000 feet cmfat35000feet
77,neutral,first time flying you all do you have a different rate policy for media bags thanks
78,negative,what is going on with customer service is there anyway to speak to a human asap thank you
79,neutral,what happened to doom
80,negative,why can t you supp the biz traveler like southwestair and have customer service like jetblue neverflyvirginforbusiness
81,positive,i ve applied more then once to be a member of the inflight crew team im 100 interested flightattendant dreampath g
82,negative,you re the best whenever i begrudgingly use any other airline i m delayed and late flight
83,negative,i have no interesting flying with you after this i will cancelled flight my next four flights i planned neverflyvirginforbusiness
84,negative,it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin
85,negative,i m having trouble adding this flight my wife booked to my elevate account help
86,neutral,can t bring up my reservation online using flight booking problems code
87,neutral,random q what s the distribution of elevate avatars i bet that kitty has a disproportionate share
88,neutral,i lt 3 flying va but life happens and i am trying to change my trip jperhi can you help va home page will not let me
89,negative,why is the site down when will it be back up
90,neutral,you down with rnp yeah you know me
91,neutral,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
92,negative,i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday
93,negative,just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin
94,neutral,why is flight 345 redirected
95,negative,is it me or is your website down btw your new website isn t a great user experience time for another redesign
96,negative,i can t check in or add a bag your website isn t working i ve tried both desktop and mobile
97,negative,let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable
98,negative,what is your phone number i can t find who to call about a flight reservation
99,negative,is anyone doing anything there today website is useless and no one is answering the phone
100,neutral,trying to add my boy prince to my ressie sf this thursday virginamerica from lax
101,negative,why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfo2lax
102,neutral,check out new music
103,negative,how s a direct flight fll gt sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight sneaky
104,negative,your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp
105,positive,amazing customer service again raeann in sf she s the best customerservice virginamerica flying
106,negative,called your service line and was hung up on this is awesome sarcasm
107,negative,your site is tripping i m trying to check in and i m getting the plain text version i am reluctant to enter any card info
108,neutral,i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on
109,positive,has getaway deals through may from 59 one way lots of cool cities   cheapflights farecompare
110,neutral,has getaway deals through may from 59 one way lots of cool cities   cheapflights farecompare
111,positive,has getaway deals through may from 59 one way lots of cool cities   cheapflights farecompare
112,neutral,has getaway deals through may from 59 one way lots of cool cities   cheapflights farecompare
113,positive,have a great week
115,negative,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop
116,positive,is the best airline i have flown on easy to change your reservation helpful representatives amp a comfortable flying experience
117,positive,and again another rep kicked butt naelah represents your team so beautifully thank you
118,positive,your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure
119,positive,love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining
120,negative,use another browser 2015 amp a brand with a reputation built on tech response doesn t have a cross browser compatible website
121,negative,and now the flight flight booking problems site is totally down folks what is the problem
122,negative,i like the customer service but a 40 min delay just for connecting passengers seems too long va370
123,positive,thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight
124,positive,you have the absolute best team and customer service ever every time i fly with you i m delighted thank you
125,neutral,do you provide complimentary upgrades to first class if there are available seats
126,negative,i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone im calling intern help
127,positive,completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time vabeatsjblue
128,neutral,how can i watch the oscars2015 on my jfk gt sfo flight
129,neutral,is flight 882 cancelled flightled and what do i do if it is
130,negative,you are failing your customers because your check in process does not link to tsa pre check
131,negative,fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry
132,neutral,has flight number 276 from sfo to cabo san lucas arrived yet
133,negative,chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you
134,negative,another delayed flight likingyoulessandless
135,negative,i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise
136,positive,you rock for making it so i can watch oscars on my flight redcarpet oscars oscars2015
137,neutral,reallytallchris dropped a track on you
138,positive,always xoxo
139,negative,why can t we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
140,negative,you d think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at sfo lame
141,positive,best customer service rep in the world irmafromdallas takes the cake
143,negative,please provide status for flight 769 i cant imagine it s on time as the web indicates dude to weather here and or dallas
144,positive,you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort
145,negative,i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face
146,negative,question is it not possible to book a seat for an infant under 2 it s not giving me the option but we want a seat for him
147,positive,always have it together you re welcome rt virginamerica jessicajaymes you re so welcome
148,positive,flight home to dc sunset globe in backtowinter back to work refreshed
149,negative,virginamerica i don t understand why you need a dm to give me an answer on if you have a damaged luggage policy
150,negative,virginamerica does that mean you don t have a policy for destroyed luggage
151,neutral,is there special assistance if i travel alone w 2 kids and 1 infant priority boarding
152,positive,thank you for checking in tickets are purchased and customer is happy
153,neutral,is your website ever coming back online
154,neutral,is flight 713 from love field to sfo definitely cancelled flightled for monday february 23
155,neutral,is flight 0769 out of lga to dfw on time
156,neutral,my drivers license is expired by a little over a month can i fly friday morning using my expired license
157,negative,having problems flight booking problems on the web site keeps giving me an error and to contact by phone phone is 30 minute wait
158,negative,how do i reschedule my cancelled flightled flights online the change button is greyed out
159,negative,i rang but there is a wait for 35 minutes i can book the same ticket through a vendor fix your site
160,negative,got a flight we were told for 4 50 today checked my email and its for 4 50 tomorrow this is unacceptable
161,negative,our flight into lga was cancelled flighted we re stuck in dallas i called to reschedule told i could get a flight for today 1 2
162,negative,why don t any of the pairings include red wine only white is offered redwineisbetter
163,negative,is the website down
164,negative,your site seems a little wonked right now may want to have a look tried on two browsers no css
165,negative,i m disappointed that the agent at the designated silver status check in line dulles airport closed to assist all pasengers
166,neutral,plans to include austin to its dallas route topnews arab emirates
167,negative,is it normal to receive no reply from central baggage baggageissues smh
168,negative,at logan airport and waiting to checkin for my 9am flight checkin desk not open why
169,neutral,to jump into the dallas austin market dallas news
170,neutral,beats eps views takes on southwestair va luv investor s business daily
171,neutral,lister to my show my on monday 1230 130
172,neutral,to begin dallas austin flights in april 88 9 ketr
173,negative,congrats you just got all my business from ewr to sfo lax fuck you united fl1289 sfo ewr was the clincher
174,negative,i applied over 2 weeks ago haven t heard back and i m flying this week disappointed
175,neutral,i d love to know what your policy is for damaged luggage
176,positive,thank you for the follow
177,negative,too many apologies you r the worse airlines don t even respond to your cudtomers
178,negative,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me
179,neutral,ttinac11 i dm you
180,neutral,can you please have flights in sjc i have no choice but to fly southwest to vegas
181,negative,too bad you say it takes 10 to 14 days via your confirmation email when i inquired after 3 weeks you claim 6 to 8 weeks
182,negative,flight from bos gt las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline
184,positive,only way to fly elevate gold
185,neutral,if only you guys had flights from cmh
186,negative,a lot of apologies being thrown out to customers from what i can see very sad thanks for nothing worst airline ever
187,negative,for all my flight stuff wrong and did nothing about it had worst flight ever
188,neutral,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next
189,positive,you will match my americanairlines status cool
190,neutral,virginamerica you ve met your match got status on another airline upgrade   asarco es ar
191,negative,trying to book a flight with you guys and your website won t let me about to lose my business
192,negative,you suck
193,positive,thanks
194,negative,just dm d same issue persisting
195,negative,because we never rec d cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids
196,negative,trying to book a flight amp your site is down
197,negative,you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didn t do anything
198,negative,you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed expected better
199,positive,i love your guy s song we re dancing to it for our high school dance revue
200,negative,your website is down and i m trying to check in
201,positive,done thank you for the quick response apparently faster than sitting on hold
202,neutral,nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me
203,positive,cool picture of another virginamerica plane off our wing what a site
204,positive,keep up the great work
205,positive,my goodness your people love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
206,positive,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously
207,neutral,can you please get me to the new york area before monday afternoon
208,positive,thanks so much for the awesome support you guys rock
209,negative,seats in row 8 don t recline should mention that on your website soreback
210,negative,flight 404 delayed 2 hours in la due to mechanical problems handle like pros but you could have tossed us a free drink
211,negative,why cancelled flight flights today no precipitation to be scared of
212,positive,twitter team you guys killed it for rescheduling me asap thank you
213,negative,you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it what s the deal
214,negative,can t access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook
215,neutral,on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight
216,negative,your mobile site is broken shows header elevateuser numofpointsavailable 0 number points won t let me checkin
217,negative,i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
218,negative,why cancelled flight flight vx413 one sec its delayed on my to airport the next its cancelled flightled gonna email or call me to reschedule
219,negative,i did it but there was a problem in the link from the email for check in thanks
220,negative,had to change to another airline to get to dc today why is united able to land in dc but not you cost me 800 ugh
221,negative,i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one
222,positive,when are you putting some great deals from pdx to las or from las to pdx show me your love
223,positive,wish i can afford to fly with you next friday going back home love everything about your airline
224,negative,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad
225,neutral,it s just a bug report guys
226,negative,hold times at call center are a bit much
227,positive,like
228,negative,site down help
229,positive,you have the best flight attendant ever
230,positive,awesome rt virginamerica watch nominated films at 35 000 feet meetthefleet oscars
231,positive,thanks so much
232,negative,trying to reset my password email never arrives help
233,positive,the only airline based in silicon valley disruption fcmostinnovative incubator fastcompany s
234,positive,very nicely done
235,positive,i m looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink
236,negative,what is the reason for the delay of the departure of vx 413 from jfk this afternoon
237,negative,is todays flight from palm springs ca to jfk in ny cancelled flightled
238,positive,hahaha virginamerica you guys are amazing i love you guys
239,positive,sounds like fun
240,neutral,any updates on flight 413 from jfk gt lax
241,neutral,spruce moose
242,negative,the css on your site is a 404 right now please fix site unusable
243,negative,we re on flight 910 vegas to boston today checked in online but our bag count didn t register can i fix that somehow
244,positive,classiq luv virgin america greetingz
245,negative,hi i m trying to do check in but the website is not working i tried 3 different browsers and the problem continues
246,positive,thanks for your great customer service today amp for helping me get all my travel sorted out
247,positive,thanks guys sweet route over the rockies airplanemodewason
248,positive,love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee
249,negative,the passenger in 7d flt 338 that assaulted me shouldn t have flown i trust he s banned crew filed report to faanews
250,negative,current bug on website shows select departure city when selecting destination city
251,negative,luggage was severely dented missing wheel coming off baggage claim in san luggage agent miranda i think wasn t any help
252,positive,thank you for the easy itinerary shift for impending weather quick painless amp free
253,neutral,if you d love to see more girls be inspired to become pilots rt our free woaw event march 2 8 at abq
254,positive,thanks good times there and back vodkatonics the entire flight sfo
255,neutral,beats expectations shares take off santa cruz sentinel
256,neutral,any plans to start flying direct from dal to las
257,neutral,big love gratitude mpower w   werin oscars2105 vipswagbags avalonhollywood
258,positive,you re doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up
259,negative,requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member
260,neutral,grand budapest hotel oscarscountdown
261,neutral,this is what you missed newsvp next trip to the 407
262,negative,wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
263,negative,there is something wrong with you website in safari iphone
264,positive,thanks for gate checking my baggage on your full flight dfw lax 883 and giving me early boarding too sweet
265,negative,already checked in so the page expired x
266,negative,boo for a not refunding a seat upgrade fee i did not want to buy in the first place
267,neutral,shares rise on q4 financial results usa today
268,neutral,adds pillows instead of lie flat seats in first class arms race
269,positive,i see what you did there
270,neutral,way to take advantage of mayweatherpacquiao
271,neutral,you know i m flying virgin for the fight mayweatherpacquiao
272,positive,your inflight team makes the experience amazing
273,positive,cutest salt and pepper shaker ever just when i think you guys can t get any better you just do
274,negative,moved my seat with no notice better seat is cabin select not behind the row i selected disappointed
275,neutral,shares up on 4q results iol
276,positive,fav airline
277,positive,we have a hot female pilot sweet dca to sfo
278,neutral,when are you guys going to start flying to paris virginamerica lizautter you re welcome
279,neutral,what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor
280,negative,already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help
281,positive,thank you
282,negative,is there anything going on with the website i ve been getting a lot of errors past 30 minutes
283,neutral,i think i left something on the plane yesterday who do i call ah
284,neutral,i need you to follow back in order to dm
285,neutral,need to start flying to kciairport
286,neutral,they told to check with the airline regulation first so that is why i contacted you
287,negative,virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits
288,negative,husband and i ordered three drinks via my screen and they never came awesome
289,negative,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence
290,neutral,what is your policy on flying after surgery
291,neutral,posts second consecutive full year net profit atwonline
292,negative,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this
293,positive,would love to do more for virgin just like i do for gopro
294,neutral,results handily exceed forecasts nytimes
295,neutral,i applied for a position in flylaxairport and i was wondering if you guys received my application
296,neutral,achieves a second year of profitability despite revenue pressure capa aviation
297,neutral,gives positive outlook but sees increased competition reuters
298,negative,i m trying to check into my 10 50am ct flight tmm on the desktop website and it s not working some sort of caching bug sos
299,neutral,weather delays gt next few weeks jfk bos dca
300,neutral,madbee95 check the website before you go to the airport
301,negative,do you guys know your check in links from emails are broken
302,neutral,pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about 5 degrees amp w the windchill 8
303,positive,loved it can t wait for monday s return flight mostly just to watch the inflight safety video again sorrynotsorry
304,negative,lost my luggage 4 days ago on flight vx 112 from lax to iad amp i m calling every day no response please give me back my stuff
305,negative,the flight booking problems section of your website seems to be broken on chrome might wanna look into that
306,positive,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
307,positive,i mean probably inappropriate while on board but it s on
308,positive,happy to spend the day together let s do this
310,neutral,missed my flight how does standby work
311,positive,virginamerica they were very understanding and helped me out thx comps
312,neutral,brought it all the way across the country today i see
313,positive,thank you i absolutely will
314,negative,looks like a broken link for your assets
315,neutral,are you ready let s say it together noooo turbulence today
316,negative,the manage itinerary section of your website seems to be broken for me
317,negative,can t check in your site looks like this every time it loads
318,neutral,can u help this freyabevan fund needs urgent treatment in 2y old battling cancer could u help with flights freyasfund
319,neutral,may start service to hawaii from sanfrancisco this year   biztravel
320,negative,other carriers are less than half price for a round trip fare i am stunned
321,negative,wtf is happening in pdx late flight march such that one way from sfo is 550
322,neutral,add dtw and i m sold
323,positive,how about some free drinks on the flight back for the free promo
324,positive,ssal thanks
325,neutral,momma i made it
326,neutral,please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 914 329 0185
327,neutral,help i was on flight 27 from jkf tonight seat 7c left portfolio need it back
328,neutral,shrinerack seattle bound wifey got me the duffle for vday she s a keeper holla
329,negative,my luggage is gone i ve filed my paperwork promised a call email still no resolution or response from central luggage
